name,month_and_day,segment,call,current_price,date,symbol
Honeywell (HON),08/11,D,buy,160.28,2020-08-11,HON
Salesforce.com (CRM),08/11,D,positive,191.99,2020-08-11,CRM
FLIR Systems (FLIR),08/12,L,buy,36.55,2020-08-12,FLIR
Trinseo (TSE),08/12,L,sell,26.97,2020-08-12,TSE
ServiceMaster (SERV),08/12,L,buy,41.41,2020-08-12,SERV
Polaris Industries (PII),08/12,L,buy,107.16,2020-08-12,PII
Kandi Technologies (KNDI),08/12,L,sell,8.68,2020-08-12,KNDI
j2 Global Communications (JCOM),08/12,I,buy,70.56,2020-08-12,JCOM
eXp World (EXPI),08/12,L,buy,30.91,2020-08-12,EXPI
Emergent BioSolutions (EBS),08/12,I,buy,129.57,2020-08-12,EBS
Cisco Systems (CSCO),08/12,I,buy,48.1,2020-08-12,CSCO
Apple (AAPL),08/12,D,buy,452.04,2020-08-12,AAPL
ZoomInfo Technologies (ZI),08/12,L,buy,38.53,2020-08-12,ZI
Tupperware (TUP),08/13,L,negative,13.66,2020-08-13,TUP
PayPal (PYPL),08/13,I,buy,193.07,2020-08-13,PYPL
FleetCor Technologies (FLT),08/13,L,negative,234.63,2020-08-13,FLT
Opko Health (OPK),08/13,L,buy,4.86,2020-08-13,OPK
Eventbrite (EB),08/13,L,negative,9.91,2020-08-13,EB
Azek Company (AZEK),08/13,I,buy,35.56,2020-08-13,AZEK
Axcelis Technologies (ACLS),08/13,L,buy,26.31,2020-08-13,ACLS
Five9 (FIVN),08/13,I,buy,119.45,2020-08-13,FIVN
Danaher (DHR),08/17,D,buy,205.57,2020-08-17,DHR
Domino's Pizza (DPZ),08/17,D,buy,409.39,2020-08-17,DPZ
GrowGeneration (GRWG),08/17,I,buy,16.16,2020-08-17,GRWG
Home Depot (HD),08/17,D,buy,288.24,2020-08-17,HD
Lowe's (LOW),08/17,D,buy,158.41,2020-08-17,LOW
PerkinElmer (PKI),08/17,I,buy,119.67,2020-08-17,PKI
Walmart (WMT),08/17,D,buy,135.6,2020-08-17,WMT
Thermo Fisher Scientific (TMO),08/17,D,buy,416.8,2020-08-17,TMO
Vertex Pharmaceuticals (VRTX),08/17,L,buy,273.84,2020-08-17,VRTX
Wingstop (WING),08/17,D,buy,157.41,2020-08-17,WING
Builders FirstSource (BLDR),08/17,L,buy,30.02,2020-08-17,BLDR
Ping Identity (PING),08/17,L,negative,33.22,2020-08-17,PING
KE Holdings (BEKE),08/17,F,sell,38.72,2020-08-17,BEKE
Royalty Pharma (RPRX),08/17,L,buy,45.95,2020-08-17,RPRX
Livongo Health (LVGO),08/18,L,buy,136.01,2020-08-18,LVGO
KLA Corp (KLAC),08/18,D,buy,211.76,2020-08-18,KLAC
Apple (AAPL),08/18,D,buy,462.25,2020-08-18,AAPL
Advanced Micro Devices (AMD),08/18,D,buy,81.66,2020-08-18,AMD
Amarin (AMRN),08/18,L,sell,6.84,2020-08-18,AMRN
CBRL Group (CBRL),08/18,L,sell,117.56,2020-08-18,CBRL
Celsius Holdings (CELH),08/18,L,buy,23.07,2020-08-18,CELH
Columbia Sportswear (COLM),08/18,I,buy,80.66,2020-08-18,COLM
D R Horton (DHI),08/18,L,buy,73.54,2020-08-18,DHI
Darden Restaurants (DRI),08/18,L,buy,82.83,2020-08-18,DRI
Cadence Systems (CDNS),08/18,D,buy,109.15,2020-08-18,CDNS
eHealth (EHTH),08/18,I,buy,76.28,2020-08-18,EHTH
EQT Corp (EQT),08/18,L,sell,16.53,2020-08-18,EQT
GrowGeneration (GRWG),08/18,F,buy,17.67,2020-08-18,GRWG
WestRock (WRK),08/18,L,sell,29.1,2020-08-18,WRK
Qorvo (QRVO),08/18,D,buy,132.61,2020-08-18,QRVO
PayPal (PYPL),08/18,D,buy,194.57,2020-08-18,PYPL
NVIDIA (NVDA),08/18,D,buy,490.43,2020-08-18,NVDA
ServiceNow (NOW),08/18,D,buy,437.58,2020-08-18,NOW
Brinker International (EAT),08/18,L,buy,37.72,2020-08-18,EAT
SmileDirectClub (SDC),08/19,L,sell,7.97,2020-08-19,SDC
Sonos (SONO),08/19,L,positive,14.27,2020-08-19,SONO
Spotify (SPOT),08/19,L,buy,261.72,2020-08-19,SPOT
Switch (SWCH),08/19,L,buy,17.12,2020-08-19,SWCH
Walmart (WMT),08/19,D,buy,132.41,2020-08-19,WMT
Tyson Foods (TSN),08/19,L,sell,63.48,2020-08-19,TSN
2U (TWOU),08/19,L,sell,39.32,2020-08-19,TWOU
PetMed Express (PETS),08/19,L,buy,33.48,2020-08-19,PETS
Target (TGT),08/19,D,buy,154.22,2020-08-19,TGT
1Life Healthcare (ONEM),08/19,L,negative,29.67,2020-08-19,ONEM
Livongo Health (LVGO),08/19,L,buy,135.74,2020-08-19,LVGO
Analog Devices (ADI),08/19,I,buy,118.15,2020-08-19,ADI
Lowe's (LOW),08/19,D,buy,158.28,2020-08-19,LOW
Linde (LIN),08/19,I,buy,247.24,2020-08-19,LIN
At Home Group (HOME),08/19,I,buy,18.66,2020-08-19,HOME
Home Depot (HD),08/19,D,buy,282.86,2020-08-19,HD
Chewy (CHWY),08/19,L,buy,56.22,2020-08-19,CHWY
Activision Blizzard (ATVI),08/19,L,buy,81.98,2020-08-19,ATVI
Aphria (APHA),08/19,L,negative,4.63,2020-08-19,APHA
Apple (AAPL),08/19,D,positive,462.83,2020-08-19,AAPL
Microsoft (MSFT),08/19,D,positive,209.7,2020-08-19,MSFT
Costco (COST),08/20,L,buy,340.87,2020-08-20,COST
BJ's Wholesale Club (BJ),08/20,L,positive,44.46,2020-08-20,BJ
Apple (AAPL),08/20,D,buy,473.1,2020-08-20,AAPL
Boeing (BA),08/20,L,positive,169.58,2020-08-20,BA
Akamai Technologies (AKAM),08/20,I,buy,110.35,2020-08-20,AKAM
Ford Motor (F),08/20,D,negative,6.84,2020-08-20,F
Bank of America (BAC),08/20,L,negative,25.1,2020-08-20,BAC
General Motors (GM),08/20,D,negative,28.83,2020-08-20,GM
Ooma (OOMA),08/20,L,sell,17.18,2020-08-20,OOMA
Neurocrine Biosciences (NBIX),08/20,L,sell,113.49,2020-08-20,NBIX
Norwegian Cruise Line (NCLH),08/20,D,negative,15.58,2020-08-20,NCLH
Nike (NKE),08/20,L,buy,108.01,2020-08-20,NKE
NVIDIA (NVDA),08/20,F,buy,485.64,2020-08-20,NVDA
Occidental Petroleum (OXY),08/20,D,negative,13.4,2020-08-20,OXY
Ping Identity (PING),08/20,I,buy,34.21,2020-08-20,PING
Under Armour (UA),08/20,L,negative,8.79,2020-08-20,UA
Zoom Video Communications (ZM),08/20,D,buy,290.69,2020-08-20,ZM
American Airlines (AAL),08/20,D,negative,12.5,2020-08-20,AAL
At Home Group (HOME),08/20,D,buy,19.24,2020-08-20,HOME
Lockheed Martin (LMT),08/24,L,buy,395.04,2020-08-24,LMT
Apple (AAPL),08/24,F,buy,503.43,2020-08-24,AAPL
Estee Lauder (EL),08/24,L,buy,212.57,2020-08-24,EL
Fiserv (FISV),08/24,I,buy,96.22,2020-08-24,FISV
Gilead Sciences (GILD),08/24,L,sell,66.08,2020-08-24,GILD
Barrick Gold (GOLD),08/24,L,buy,28.97,2020-08-24,GOLD
Huntington Ingalls (HII),08/24,L,negative,162.18,2020-08-24,HII
International Flavors and (IFF),08/24,L,buy,122.89,2020-08-24,IFF
Karyopharm Therapeutics (KPTI),08/24,L,buy,14.19,2020-08-24,KPTI
Linde (LIN),08/24,L,buy,248.91,2020-08-24,LIN
Opko Health (OPK),08/24,I,buy,4.74,2020-08-24,OPK
Palo Alto Networks (PANW),08/24,I,buy,267.07,2020-08-24,PANW
Plug Power (PLUG),08/24,L,positive,12.34,2020-08-24,PLUG
Regeneron Pharmaceuticals (REGN),08/24,L,buy,594.77,2020-08-24,REGN
Raytheon Technologies (RTX),08/24,L,buy,61.88,2020-08-24,RTX
Chevron (CVX),08/25,L,positive,86.13,2020-08-25,CVX
General Electric (GE),08/25,L,buy,6.59,2020-08-25,GE
Amgen (AMGN),08/25,F,buy,248.22,2020-08-25,AMGN
Hilton Hotels (HLT),08/25,D,positive,88.44,2020-08-25,HLT
Axon Enterprise (AAXN),08/25,L,buy,85.23,2020-08-25,AAXN
Hormel Foods (HRL),08/25,I,buy,51.54,2020-08-25,HRL
Southwest Airlines (LUV),08/25,D,positive,37.06,2020-08-25,LUV
Marathon Petroleum (MPC),08/25,L,buy,36.45,2020-08-25,MPC
Norwegian Cruise Line (NCLH),08/25,D,positive,16.75,2020-08-25,NCLH
Honeywell (HON),08/25,F,buy,164.53,2020-08-25,HON
Peloton (PTON),08/25,L,sell,66.45,2020-08-25,PTON
Raytheon Technologies (RTX),08/25,D,negative,60.95,2020-08-25,RTX
Scotts Miracle-Gro (SMG),08/25,L,buy,174.89,2020-08-25,SMG
Exxon Mobil (XOM),08/25,D,sell,40.88,2020-08-25,XOM
Salesforce.com (CRM),08/25,I,buy,216.05,2020-08-25,CRM
Pfizer (PFE),08/25,D,negative,38.41,2020-08-25,PFE
L Brands (LB),08/26,D,sell,30.76,2020-08-26,LB
Landcadia Holdings (LCA),08/26,L,buy,16.12,2020-08-26,LCA
Lowe's (LOW),08/26,D,buy,170.39,2020-08-26,LOW
3M (MMM),08/26,I,buy,163.9,2020-08-26,MMM
Target (TGT),08/26,D,buy,152.71,2020-08-26,TGT
Royal Dutch Shell (RDS.A),08/26,L,sell,30.03,2020-08-26,RDS.A
Urban Outfitters (URBN),08/26,D,buy,25.25,2020-08-26,URBN
Walmart (WMT),08/26,D,buy,130.7,2020-08-26,WMT
Kohl's (KSS),08/26,D,sell,20.71,2020-08-26,KSS
Oneok (OKE),08/26,L,sell,26.56,2020-08-26,OKE
Nordstrom (JWN),08/26,D,sell,14.69,2020-08-26,JWN
TJX Companies (TJX),08/26,D,negative,53.26,2020-08-26,TJX
Inseego (INSG),08/26,L,buy,10.86,2020-08-26,INSG
Home Depot (HD),08/26,D,buy,291.93,2020-08-26,HD
GrowGeneration (GRWG),08/26,L,buy,14.05,2020-08-26,GRWG
Facebook (FB),08/26,D,positive,303.91,2020-08-26,FB
Dicks Sporting Goods (DKS),08/26,D,buy,53.99,2020-08-26,DKS
Salesforce.com (CRM),08/26,D,positive,272.32,2020-08-26,CRM
Costco (COST),08/26,D,buy,344.27,2020-08-26,COST
Churchill Capital (CCX),08/26,L,negative,10.52,2020-08-26,CCX
Best Buy (BBY),08/26,D,buy,112.31,2020-08-26,BBY
Apple (AAPL),08/26,D,positive,506.09,2020-08-26,AAPL
Intuit (INTU),08/26,I,buy,342.34,2020-08-26,INTU
Williams-Sonoma (WSM),08/27,I,buy,91.13,2020-08-27,WSM
Workday (WDAY),08/27,I,buy,216.63,2020-08-27,WDAY
Switch (SWCH),08/27,L,buy,16.99,2020-08-27,SWCH
Splunk (SPLK),08/27,I,buy,215.39,2020-08-27,SPLK
HP (HPQ),08/27,I,buy,18.7,2020-08-27,HPQ
Atlassian (TEAM),08/27,D,positive,188.31,2020-08-27,TEAM
Energy Transfer (ET),08/27,L,sell,6.53,2020-08-27,ET
Cisco Systems (CSCO),08/27,L,positive,42.29,2020-08-27,CSCO
Centene (CNC),08/27,L,positive,60.49,2020-08-27,CNC
Abbott Laboratories (ABT),08/27,F,buy,111.29,2020-08-27,ABT
Generac Holdings (GNRC),08/27,L,buy,186.65,2020-08-27,GNRC
Centene (CNC),09/08,D,negative,57.16,2020-09-08,CNC
CrowdStrike (CRWD),09/08,I,buy,125.63,2020-09-08,CRWD
Camping World (CWH),09/08,L,buy,33.54,2020-09-08,CWH
eHealth (EHTH),09/08,L,negative,66.32,2020-09-08,EHTH
Enviva Partners (EVA),09/08,L,positive,38.77,2020-09-08,EVA
1-800-Flowers (FLWS),09/08,L,negative,24.16,2020-09-08,FLWS
Fastly (FSLY),09/08,D,positive,81.08,2020-09-08,FSLY
Gilead Sciences (GILD),09/08,D,negative,64.14,2020-09-08,GILD
Johnson & Johnson (JNJ),09/08,D,negative,147.26,2020-09-08,JNJ
Eli Lilly (LLY),09/08,D,negative,149.31,2020-09-08,LLY
Livongo Health (LVGO),09/08,D,positive,123.1,2020-09-08,LVGO
Peloton (PTON),09/08,D,positive,85.6,2020-09-08,PTON
Square (SQ),09/08,D,positive,139.11,2020-09-08,SQ
Twitter (TWTR),09/08,I,buy,38.19,2020-09-08,TWTR
Zoom Video Communications (ZM),09/08,D,positive,350.88,2020-09-08,ZM
Adobe Systems (ADBE),09/09,D,positive,479.46,2020-09-09,ADBE
Albertsons (ACI),09/09,L,positive,13.88,2020-09-09,ACI
Advanced Micro Devices (AMD),09/09,D,buy,81.91,2020-09-09,AMD
Qorvo (QRVO),09/09,D,buy,122.71,2020-09-09,QRVO
Bristol-Myers Squibb (BMY),09/09,D,buy,59.08,2020-09-09,BMY
Zoom Video Communications (ZM),09/09,D,buy,389.65,2020-09-09,ZM
Wix.com (WIX),09/09,D,buy,262.28,2020-09-09,WIX
Ulta Beauty (ULTA),09/09,I,buy,235.4,2020-09-09,ULTA
Skyworks Solutions (SWKS),09/09,D,buy,137.61,2020-09-09,SWKS
Shopify (SHOP),09/09,D,buy,949.31,2020-09-09,SHOP
Rocket Companies (RKT),09/09,L,buy,23.39,2020-09-09,RKT
RH (RH),09/09,D,buy,321.08,2020-09-09,RH
Broadcom (AVGO),09/09,D,buy,360.03,2020-09-09,AVGO
NVIDIA (NVDA),09/09,D,buy,508.6,2020-09-09,NVDA
Micron Technology (MU ),09/09,L,buy,45.15,2020-09-09,MU 
Microsoft (MSFT),09/09,D,buy,211.29,2020-09-09,MSFT
Lululemon Athletica (LULU),09/09,D,buy,323.93,2020-09-09,LULU
LivePerson (LPSN),09/09,L,buy,52.05,2020-09-09,LPSN
DuPont (DD),09/09,D,buy,57.93,2020-09-09,DD
CrowdStrike (CRWD),09/09,D,buy,128.18,2020-09-09,CRWD
Costco (COST),09/09,D,buy,346.43,2020-09-09,COST
ServiceNow (NOW),09/09,D,buy,458.2,2020-09-09,NOW
Apple (AAPL),09/09,D,buy,117.32,2020-09-09,AAPL
Sorrento Therapeutics (SRNE),09/09,L,negative,6.41,2020-09-09,SRNE
Marvell Technology (MRVL),09/10,L,buy,38.51,2020-09-10,MRVL
Ncino (NCNO),09/10,I,buy,84.2,2020-09-10,NCNO
ON Semiconductor (ON),09/10,L,sell,21.52,2020-09-10,ON
Palo Alto Networks (PANW),09/10,L,buy,236.96,2020-09-10,PANW
Qorvo (QRVO),09/10,L,buy,121.46,2020-09-10,QRVO
RH (RH),09/10,I,buy,385.46,2020-09-10,RH
Sage Therapeutics (SAGE),09/10,I,buy,54.25,2020-09-10,SAGE
Skyworks Solutions (SWKS),09/10,L,buy,135.23,2020-09-10,SWKS
ZScaler (ZS),09/10,L,buy,132.61,2020-09-10,ZS
CrowdStrike (CRWD),09/10,L,buy,129.35,2020-09-10,CRWD
FireEye (FEYE),09/10,L,negative,12.69,2020-09-10,FEYE
FedEx (FDX),09/11,D,buy,232.79,2020-09-11,FDX
Walt Disney (DIS),09/11,L,buy,131.75,2020-09-11,DIS
Deere & Company (DE),09/11,D,buy,215.96,2020-09-11,DE
Camping World (CWH),09/11,D,buy,34.44,2020-09-11,CWH
Adobe Systems (ADBE),09/11,D,buy,471.35,2020-09-11,ADBE
Applied Materials (AMAT),09/11,L,positive,55.0,2020-09-11,AMAT
Alliance Data (ADS),09/11,M,sell,45.25,2020-09-11,ADS
Horizon Pharmaceuticals (HZNP),09/11,L,sell,70.54,2020-09-11,HZNP
The Blackstone Group (BX),09/11,L,buy,51.47,2020-09-11,BX
Kraft Heinz (KHC),09/11,D,negative,31.71,2020-09-11,KHC
Lennar (LEN),09/11,D,buy,77.48,2020-09-11,LEN
Lam Research (LRCX),09/11,L,buy,293.99,2020-09-11,LRCX
Purple Innovation (PRPL),09/11,L,sell,23.57,2020-09-11,PRPL
Pfizer (PFE),09/11,D,buy,36.07,2020-09-11,PFE
Osmotica Pharmaceuticals (OSMT),09/11,M,sell,4.96,2020-09-11,OSMT
OptimizeRx (OPRX),09/11,L,negative,18.12,2020-09-11,OPRX
Peloton (PTON),09/11,D,positive,84.04,2020-09-11,PTON
Moderna (MRNA),09/11,D,positive,59.34,2020-09-11,MRNA
Mosaic (MOS),09/11,D,negative,18.31,2020-09-11,MOS
Moog (MOG.A),09/11,M,buy,59.8,2020-09-11,MOG.A
Herman Miller (MLHR),09/11,D,buy,22.69,2020-09-11,MLHR
Nikola (NKLA),09/11,F,sell,32.13,2020-09-11,NKLA
Norwegian Cruise Line (NCLH),09/14,D,buy,17.79,2020-09-14,NCLH
Yum! Brands (YUM),09/14,D,buy,92.87,2020-09-14,YUM
Tesla (TSLA),09/14,F,buy,419.62,2020-09-14,TSLA
Tapestry (TPR),09/14,D,buy,17.52,2020-09-14,TPR
TJX Companies (TJX),09/14,D,buy,55.47,2020-09-14,TJX
Tortoise Acquisition (SHLL),09/14,L,sell,43.25,2020-09-14,SHLL
PVH Corp (PVH),09/14,D,buy,71.4,2020-09-14,PVH
Penn National Gaming (PENN),09/14,D,buy,65.54,2020-09-14,PENN
NVIDIA (NVDA),09/14,D,buy,514.89,2020-09-14,NVDA
Marriott International (MAR),09/14,D,buy,104.68,2020-09-14,MAR
GW Pharmaceuticals (GWPH),09/14,I,buy,106.89,2020-09-14,GWPH
Home Depot (HD),09/14,D,buy,280.65,2020-09-14,HD
GoHealth (GOCO),09/14,L,negative,12.84,2020-09-14,GOCO
Gilead Sciences (GILD),09/14,D,buy,66.34,2020-09-14,GILD
First Horizon National (FHN),09/14,L,negative,9.79,2020-09-14,FHN
CVS Health (CVS),09/14,L,positive,57.97,2020-09-14,CVS
Cintas (CTAS),09/14,L,buy,327.81,2020-09-14,CTAS
Costco (COST),09/14,D,buy,342.92,2020-09-14,COST
Columbia Financial (CLBK),09/14,L,sell,11.24,2020-09-14,CLBK
Apple (AAPL),09/14,F,buy,115.36,2020-09-14,AAPL
At Home Group (HOME),09/14,L,buy,16.15,2020-09-14,HOME
Altria (MO),09/15,L,sell,42.78,2020-09-15,MO
PVH Corp (PVH),09/15,L,buy,70.93,2020-09-15,PVH
RH (RH),09/15,D,buy,374.24,2020-09-15,RH
Ralph Lauren (RL),09/15,L,buy,80.62,2020-09-15,RL
Exxon Mobil (XOM),09/15,D,sell,36.27,2020-09-15,XOM
Union Pacific (UNP),09/15,I,buy,202.37,2020-09-15,UNP
Wells Fargo (WFC),09/15,D,negative,24.88,2020-09-15,WFC
Workhorse Group (WKHS),09/15,L,sell,25.35,2020-09-15,WKHS
Zynga (ZNGA),09/15,L,positive,8.52,2020-09-15,ZNGA
Rackspace Technology (RXT),09/15,L,sell,18.4,2020-09-15,RXT
Lennar (LEN),09/15,I,buy,75.9,2020-09-15,LEN
Jumia Technologies (JMIA),09/15,L,negative,7.83,2020-09-15,JMIA
GoPro (GPRO),09/15,L,sell,3.89,2020-09-15,GPRO
Eastman Kodak (KODK),09/15,L,sell,6.23,2020-09-15,KODK
Alibaba (BABA),09/15,L,buy,277.96,2020-09-15,BABA
Buckle (BKE),09/15,L,sell,21.3,2020-09-15,BKE
Citigroup (C),09/15,D,negative,44.81,2020-09-15,C
Adobe Systems (ADBE),09/15,D,buy,497.67,2020-09-15,ADBE
D R Horton (DHI),09/15,D,buy,71.77,2020-09-15,DHI
FedEx (FDX),09/15,D,buy,236.67,2020-09-15,FDX
First Horizon National (FHN),09/15,D,negative,9.65,2020-09-15,FHN
Caterpillar (CAT),09/15,D,buy,148.6,2020-09-15,CAT
Lululemon Athletica (LULU),09/16,D,buy,309.99,2020-09-16,LULU
Zoom Video Communications (ZM),09/16,L,buy,408.17,2020-09-16,ZM
Uber (UBER),09/16,L,buy,37.66,2020-09-16,UBER
Tapestry (TPR),09/16,D,positive,18.1,2020-09-16,TPR
Parsley Energy (PE),09/16,L,buy,10.15,2020-09-16,PE
Nordic American Tanker (NAT),09/16,L,sell,3.91,2020-09-16,NAT
3M (MMM),09/16,D,buy,169.51,2020-09-16,MMM
Lennar (LEN),09/16,D,buy,78.89,2020-09-16,LEN
Snowflake (SNOW),09/16,F,negative,253.93,2020-09-16,SNOW
General Electric (GE),09/16,D,positive,6.75,2020-09-16,GE
Jfrog (FROG),09/16,F,negative,64.79,2020-09-16,FROG
FedEx (FDX),09/16,D,buy,250.3,2020-09-16,FDX
Chevron (CVX),09/16,L,buy,78.56,2020-09-16,CVX
Honeywell (HON),09/16,D,buy,170.0,2020-09-16,HON
Campbell Soup (CPB),09/16,I,buy,45.26,2020-09-16,CPB
Box (BOX),09/16,I,buy,18.05,2020-09-16,BOX
Alteryx (AYX),09/16,L,positive,108.49,2020-09-16,AYX
Marvell Technology (MRVL),09/17,L,buy,38.71,2020-09-17,MRVL
NextEra Energy (NEE),09/17,L,buy,279.52,2020-09-17,NEE
Penn National Gaming (PENN),09/17,F,buy,73.0,2020-09-17,PENN
Proofpoint (PFPT),09/17,I,buy,103.19,2020-09-17,PFPT
The Trade Desk (TTD),09/17,L,negative,428.77,2020-09-17,TTD
Splunk (SPLK),09/17,L,buy,177.68,2020-09-17,SPLK
Thermo Fisher Scientific (TMO),09/17,L,buy,432.93,2020-09-17,TMO
Herman Miller (MLHR),09/17,D,buy,34.55,2020-09-17,MLHR
Vale (VALE),09/17,L,negative,11.88,2020-09-17,VALE
Peloton (PTON),09/17,L,negative,85.2,2020-09-17,PTON
Lennar (LEN),09/17,D,buy,78.14,2020-09-17,LEN
Hannon Armstrong (HASI),09/17,L,sell,39.39,2020-09-17,HASI
Fulgent Genetics (FLGT),09/17,L,buy,31.72,2020-09-17,FLGT
Abbott Laboratories (ABT),09/17,L,buy,106.66,2020-09-17,ABT
Amwell (AMWL),09/17,F,positive,23.07,2020-09-17,AMWL
Box (BOX),09/17,D,buy,17.8,2020-09-17,BOX
Clorox (CLX),09/17,L,positive,206.85,2020-09-17,CLX
American Electric Power (AEP),09/17,L,buy,80.04,2020-09-17,AEP
Consolidated Edison (ED),09/17,L,buy,75.93,2020-09-17,ED
LM Ericsson (ERIC),09/17,L,sell,11.03,2020-09-17,ERIC
Freeport-McMoRan (FCX),09/17,L,positive,17.03,2020-09-17,FCX
Campbell Soup (CPB),09/17,D,buy,45.59,2020-09-17,CPB
KB Home (KBH),09/18,D,buy,38.99,2020-09-18,KBH
Unity Software (U),09/18,F,negative,68.35,2020-09-18,U
Splunk (SPLK),09/18,I,buy,174.89,2020-09-18,SPLK
Plug Power (PLUG),09/18,L,buy,13.56,2020-09-18,PLUG
Nokia (NOK),09/18,L,sell,4.09,2020-09-18,NOK
Nike (NKE),09/18,D,buy,114.66,2020-09-18,NKE
Carmax (KMX),09/18,D,buy,103.07,2020-09-18,KMX
Jabil (JBL),09/18,D,buy,33.42,2020-09-18,JBL
Zebra Technologies (ZBRA),09/18,L,buy,256.15,2020-09-18,ZBRA
FedEx (FDX),09/18,D,positive,242.78,2020-09-18,FDX
Freeport-McMoRan (FCX),09/18,F,buy,17.0,2020-09-18,FCX
Darden Restaurants (DRI),09/18,D,buy,89.97,2020-09-18,DRI
3D Systems (DDD),09/18,L,negative,5.32,2020-09-18,DDD
Costco (COST),09/18,D,buy,335.96,2020-09-18,COST
CBRL Group (CBRL),09/18,L,sell,118.28,2020-09-18,CBRL
Accenture (ACN),09/18,D,buy,236.18,2020-09-18,ACN
General Mills (GIS),09/18,D,buy,57.32,2020-09-18,GIS
Netflix (NFLX),09/21,D,buy,487.35,2020-09-21,NFLX
Oracle (ORCL),09/21,D,buy,60.82,2020-09-21,ORCL
Peloton (PTON),09/21,D,buy,94.8,2020-09-21,PTON
Smith & Wesson Brands (SWBI),09/21,L,positive,15.22,2020-09-21,SWBI
Shopify (SHOP),09/21,D,buy,927.89,2020-09-21,SHOP
Square (SQ),09/21,D,buy,151.12,2020-09-21,SQ
Marcus (MCS),09/21,L,sell,9.35,2020-09-21,MCS
Republic Services (RSG),09/21,L,buy,94.04,2020-09-21,RSG
Eli Lilly (LLY),09/21,I,buy,151.18,2020-09-21,LLY
Walmart (WMT),09/21,D,buy,137.07,2020-09-21,WMT
The GEO Group (GEO),09/21,L,sell,10.75,2020-09-21,GEO
Albertsons (ACI),09/21,I,buy,13.66,2020-09-21,ACI
Arrowhead Pharmaceuticals (ARWR),09/21,L,buy,41.71,2020-09-21,ARWR
Ciena (CIEN),09/21,L,sell,40.59,2020-09-21,CIEN
Coty (COTY),09/21,L,sell,3.02,2020-09-21,COTY
Coca-Cola (KO),09/21,I,buy,49.09,2020-09-21,KO
Caesars Entertainment (CZR),09/21,L,sell,54.43,2020-09-21,CZR
DocuSign (DOCU),09/21,D,buy,205.02,2020-09-21,DOCU
DiamondPeak Holding (DPHC),09/21,L,negative,31.4,2020-09-21,DPHC
Campbell Soup (CPB),09/21,D,buy,46.07,2020-09-21,CPB
ArcelorMittal (MT),09/22,L,sell,12.43,2020-09-22,MT
Zoom Video Communications (ZM),09/22,D,buy,492.6,2020-09-22,ZM
Sirius XM Radio (SIRI),09/22,L,positive,5.13,2020-09-22,SIRI
Ralph Lauren (RL),09/22,D,buy,75.04,2020-09-22,RL
Palo Alto Networks (PANW),09/22,D,buy,246.5,2020-09-22,PANW
Okta (OKTA),09/22,D,buy,211.86,2020-09-22,OKTA
Nikola (NKLA),09/22,F,sell,28.51,2020-09-22,NKLA
Nike (NKE),09/22,D,buy,116.87,2020-09-22,NKE
ZScaler (ZS),09/22,D,buy,137.99,2020-09-22,ZS
Lululemon Athletica (LULU),09/22,D,buy,313.6,2020-09-22,LULU
Kratos Defense & Security (KTOS),09/22,L,buy,18.87,2020-09-22,KTOS
Fastly (FSLY),09/22,L,buy,94.31,2020-09-22,FSLY
First Solar (FSLR),09/22,L,sell,61.55,2020-09-22,FSLR
e.l.f. Beauty (ELF),09/22,I,buy,19.12,2020-09-22,ELF
eBay (EBAY),09/22,L,buy,50.92,2020-09-22,EBAY
Darden Restaurants (DRI),09/22,D,buy,89.98,2020-09-22,DRI
DocuSign (DOCU),09/22,D,buy,212.13,2020-09-22,DOCU
Carvana (CVNA),09/22,D,buy,226.83,2020-09-22,CVNA
Macy's (M),09/22,I,buy,6.27,2020-09-22,M
Magna International (MGA),09/23,L,buy,44.19,2020-09-23,MGA
Microsoft (MSFT),09/23,D,buy,200.59,2020-09-23,MSFT
Nike (NKE),09/23,F,buy,127.11,2020-09-23,NKE
MetLife (MET),09/23,L,negative,36.09,2020-09-23,MET
Anaplan (PLAN),09/23,I,buy,59.84,2020-09-23,PLAN
Tesla (TSLA),09/23,F,buy,380.36,2020-09-23,TSLA
Pepsico (PEP),09/23,D,buy,131.0,2020-09-23,PEP
LyondellBasell Industries (LYB),09/23,L,buy,69.99,2020-09-23,LYB
Beyond Meat (BYND),09/23,L,buy,150.57,2020-09-23,BYND
Johnson & Johnson (JNJ),09/23,D,buy,144.44,2020-09-23,JNJ
Inseego (INSG),09/23,L,buy,10.68,2020-09-23,INSG
General Mills (GIS),09/23,D,buy,57.72,2020-09-23,GIS
GoodRX (GDRX),09/23,F,buy,50.5,2020-09-23,GDRX
Chewy (CHWY),09/23,L,buy,54.99,2020-09-23,CHWY
Chegg (CHGG),09/23,L,buy,69.95,2020-09-23,CHGG
Coca-Cola (KO),09/23,D,buy,48.21,2020-09-23,KO
Apple (AAPL),09/23,D,buy,107.12,2020-09-23,AAPL
RedHill Biopharma (RDHL),09/25,L,negative,10.09,2020-09-25,RDHL
Rocket Companies (RKT),09/25,L,sell,20.52,2020-09-25,RKT
Royalty Pharma (RPRX),09/25,L,buy,40.07,2020-09-25,RPRX
Spartan Energy Acquisitio (SPAQ),09/25,F,sell,13.75,2020-09-25,SPAQ
Walgreens Boots Alliance (WBA),09/25,L,sell,35.43,2020-09-25,WBA
